,rouge-1,rouge-2,rouge-l
r,0.2893069517816156,0.06612161424707956,0.22780593529145035
p,0.1732336579353483,0.03410437350078303,0.13445598643762152
f,0.21155643353313294,0.043758336471480884,0.16499307429260066
