,rouge-1,rouge-2,rouge-l
r,0.32186672395058863,0.09161879602076241,0.25519436881901336
p,0.19215584732862862,0.0477536439780104,0.1510376764299687
f,0.23593503047621145,0.06120804349066483,0.1859628004641722
