,rouge-1,rouge-2,rouge-l
r,0.28843000744885283,0.06699527803869351,0.22689293915542186
p,0.1747711327790285,0.03487259521743158,0.13582689970409972
f,0.21247554160135665,0.044598409265257384,0.1658056315515091
