,rouge-1,rouge-2,rouge-l
r,0.2880625604556168,0.06600990049424481,0.22710406979972567
p,0.17213607833206954,0.03403399057626124,0.13390604623631294
f,0.21044530234265493,0.043661583526833386,0.16443292348788227
