,rouge-1,rouge-2,rouge-l
r,0.2725776999307694,0.055649617958883034,0.22475387027257498
p,0.16067820837753666,0.02830015556831303,0.1310495671162918
f,0.1972411456127,0.03642821545484249,0.16143608230860376
