,rouge-1,rouge-2,rouge-l
r,0.20928024400966444,0.04001881714112393,0.16076812404839097
p,0.22966347171399823,0.04596374346398103,0.1760970568642142
f,0.21192230593087208,0.04123827107962726,0.16250371747186096
