,rouge-1,rouge-2,rouge-l
r,0.2776174925907612,0.06348342435256975,0.21574128544237695
p,0.17597914122520586,0.0350072168393884,0.13513513304001243
f,0.21014779483499074,0.04386829335701972,0.16204640127823233
