,rouge-1,rouge-2,rouge-l
r,0.25574933575382136,0.04894026410412867,0.20075961293443023
p,0.15827438868981342,0.026374870565866362,0.12271382745260634
f,0.1909076662562935,0.03335552216443659,0.14862141766096126
