,rouge-1,rouge-2,rouge-l
r,0.29758017149532245,0.08688981279845957,0.23783944205457547
p,0.22282379894910767,0.058906824712604666,0.17644851106957302
f,0.24972696848805373,0.06846839708487508,0.19846438808952627
