,rouge-1,rouge-2,rouge-l
r,0.30406892736609337,0.06061877460961072,0.2353186164897151
p,0.16794430803616567,0.031568180757019955,0.128292975507351
f,0.21134106004577852,0.040382498995069,0.16209617907878107
