,rouge-1,rouge-2,rouge-l
r,0.29761224641008566,0.08653960934264565,0.23703067571495223
p,0.22033951540621244,0.05765158386769004,0.17325273892842188
f,0.24837509893699483,0.06768797027405873,0.19623927826165133
