epoch,Training Loss,Valid. Loss,Perplexity,Training Time,Validation Time
1,2.3777393112485634,2.3652889655614664,12.7399,0:22:08,0:05:21
2,1.7114374494972608,2.0420953390297587,7.7074,0:22:12,0:05:23
