epoch,Training Loss,Valid. Loss,Perplexity,Training Time,Validation Time
1,2.545311590336032,2.537973706018611,12.7115,1:41:06,1:12:09
2,2.3062654186155895,2.488614033973336,12.0448,1:41:06,1:12:09
