epoch,Training Loss,Valid. Loss,Perplexity,Training Time,Validation Time
1,0.040024440994374286,2.5106106700704696,tensor(15.4641),1:49:25,0:58:23
2,0.029544674452505193,2.2536998125425054,tensor(9.5232),1:49:13,0:58:21
3,0.02096563137178677,2.4458243887879156,tensor(11.5447),1:49:09,0:58:14
