,rouge-1,rouge-2,rouge-l
r,0.22526280675648272,0.05377082002536139,0.18406753959224365
p,0.22183687338038807,0.05043806257724933,0.18030946430324774
f,0.21729009785250092,0.050404421081539745,0.17695632552652274
