,rouge-1,rouge-2,rouge-l
r,0.3718882394995393,0.12336210524718769,0.32336950870457204
p,0.19374308542038285,0.05060389805137801,0.16724821329165088
f,0.24702084707479238,0.06945366326278948,0.21368065192771932
